sample,true,geodesic_tasks,geodesic_order,geodesic_ok,geodesic_grid,geodesic_precision,geodesic_recall,geodesic_f1,geodesic_jaccard,geodesic_hallucination,geodesic_omission,stock_tasks,stock_order,stock_ok,stock_grid,stock_precision,stock_recall,stock_f1,stock_jaccard,stock_hallucination,stock_omission,energy_true_min,energy_false_min,energy_margin
1,rotate,flip_h|flip_v|rotate,flip_h|rotate|flip_v,1,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_v,flip_v,0,0.375,0.0,0.0,0.0,0.0,1.0,1.0,-2.5432738128340735,-2.8313750548566192,-0.2881012420225457
2,flip_h,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.3125,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h|flip_v,flip_h|flip_v,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.7200721707053197,-3.130262915700421,-0.4101907449951012
3,flip_v|flip_h,flip_h|flip_v,flip_v|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h,flip_h,0,0.125,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-2.812327099892492,-1.29318860695499,1.5191384929375018
4,flip_h|flip_v|rotate,flip_h|flip_v|rotate,flip_h|flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|rotate,flip_h|rotate,0,0.15625,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-2.9329377032604516,inf,inf
5,flip_h,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.34375,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h|rotate,rotate|flip_h,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.591981420567543,-3.0273212499776565,-0.4353398294101134
6,flip_h|rotate,flip_h|flip_v|rotate,flip_h|rotate|flip_v,0,0.1875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_v|rotate,rotate|flip_v,1,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,-3.014370181104303,-2.6573315211681448,0.35703865993615835
7,flip_v|rotate,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.125,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.125,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-2.9627048951852277,-3.031578168217264,-0.06887327303203605
8,rotate,rotate,rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,rotate,rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.955862408345358,-1.4436531796858358,1.5122092286595223
9,flip_h,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.34375,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.34375,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,-2.648649121757204,-2.871485428986838,-0.22283630722963377
10,flip_h,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.375,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_v,flip_v,0,0.125,0.0,0.0,0.0,0.0,1.0,1.0,-2.865442192856053,-2.991150821272487,-0.12570862841643393
