sample,true,keep,order,ok,grid,precision,recall,f1,jaccard,hallucination,omission,margin_mu,margin_min,PI
1,flip_v,flip_v|flip_h,flip_v|flip_h,0,0.15625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,3.3071167748520054,3.3071167748520054,0.9548872180451128
2,flip_v|rotate|flip_h,flip_v|rotate|flip_h,flip_v|rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.08170867962662154,-0.24512603887986462,0.9322033898305084
3,flip_h|flip_v|rotate,flip_v|flip_h,flip_h|flip_v,0,0.140625,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-0.0396354879230009,-0.11890646376900271,0.9616724738675958
4,flip_v|rotate|flip_h,flip_v|rotate|flip_h,flip_v|rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.057624396247334765,-0.1728731887420043,0.925207756232687
5,flip_h|rotate|flip_v,flip_v|rotate|flip_h,flip_h|rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.07795606743704327,-0.2338682023111298,0.9175531914893617
6,flip_h|flip_v|rotate,flip_v|rotate|flip_h,flip_h|flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.05372911499592211,-0.16118734498776632,0.9205882352941176
7,flip_h|flip_v,flip_v|rotate,rotate|flip_v,0,0.28125,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,-0.18879553616331135,-0.6138592606560076,0.9623655913978495
8,flip_h|flip_v,flip_h|flip_v,flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.4836096403613226,0.8959660297239915
9,flip_v|rotate,flip_v|rotate,flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.1653419559837488,-0.6423526520047469,0.9817073170731707
10,flip_h,flip_v|flip_h,flip_h|flip_v,0,0.15625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,1.4690137547124182,1.4690137547124182,0.944954128440367
11,flip_h|flip_v|rotate,flip_v|flip_h|rotate,flip_h|flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.056981344461574324,-0.17094403338472297,0.9209809264305178
12,flip_h,flip_h|rotate|flip_v,flip_h|flip_v|rotate,0,0.28125,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,1.048325318813264,1.048325318813264,0.9358974358974359
13,rotate,flip_v|flip_h,flip_v|flip_h,0,0.15625,0.0,0.0,0.0,0.0,1.0,1.0,-0.02932525188271562,-0.02932525188271562,0.9727272727272728
14,rotate|flip_h|flip_v,flip_v|flip_h|rotate,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.058863111185531856,-0.17658933355659556,0.930835734870317
15,flip_h|rotate|flip_v,flip_v|flip_h,flip_h|flip_v,0,0.09375,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-0.047697910684535216,-0.14309373205360565,0.926829268292683
16,flip_v|rotate|flip_h,flip_v|rotate|flip_h,flip_v|rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.12970254163621972,-0.38910762490865913,0.936
17,rotate|flip_v,flip_v|rotate,rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.021465422045920945,0.9809976247030879
18,flip_v|flip_h,flip_v|flip_h,flip_v|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.8602425183671958,0.9320594479830149
19,flip_h,flip_h|flip_v,flip_h|flip_v,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,1.3130610923573904,1.3130610923573904,0.9384615384615385
20,flip_h|rotate|flip_v,rotate|flip_v,rotate|flip_v,0,0.125,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-0.045481369520370706,-0.1364441085611121,0.9476923076923077
21,rotate|flip_v|flip_h,flip_v|rotate,rotate|flip_v,0,0.09375,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-0.11399021852010864,-0.3419706555603259,0.92
22,rotate,rotate|flip_v,rotate|flip_v,0,0.21875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.6830703579565203,0.6830703579565203,0.9415322580645161
23,flip_h,flip_h|flip_v,flip_h|flip_v,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-0.01198388471174816,-0.01198388471174816,0.9926470588235294
24,flip_v|flip_h,flip_h|rotate|flip_v,rotate|flip_v|flip_h,0,0.125,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-0.42943068670513007,-0.5755684382007669,0.9772079772079773
25,flip_h,flip_h|flip_v,flip_h|flip_v,0,0.0625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-0.23217664383397896,-0.23217664383397896,0.9871244635193133
26,rotate,flip_h|rotate,rotate|flip_h,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.15527918963426313,0.15527918963426313,0.9866369710467706
27,flip_h|rotate|flip_v,rotate|flip_h,flip_h|rotate,0,0.21875,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-0.09137816204641099,-0.27413448613923297,0.9492537313432836
28,flip_v|rotate|flip_h,rotate|flip_h,rotate|flip_h,0,0.0625,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-0.07840617480567769,-0.23521852441703306,0.9481268011527377
29,rotate|flip_h|flip_v,flip_h|flip_v,flip_h|flip_v,0,0.15625,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-0.12180991712958988,-0.36542975138876965,0.9413489736070382
30,flip_v,flip_v|rotate,flip_v|rotate,0,0.09375,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.03512718914819679,0.03512718914819679,0.9910714285714286
